modality,person,subtask
Touch,P10,assign tag
Speech,P10,assign tag
Touch,P9,mark sentence
Touch,P10,scroll
Touch,P9,scroll
Touch,P10,scroll
Touch,P9,close document
Touch,P9,move document
Touch,P9,open document
Touch,P9,mark sentence
Touch,P10,scroll
Touch,P9,close document
Touch,P10,deselect document
Touch,P9,open document
Touch,P10,remove tag
Speech,P10,remove tag
Touch,P10,mark sentence
Touch,P10,scroll
Touch,P9,close document
Touch,P10,scroll
Touch,P10,scroll
Touch,P10,close document
Touch,P9,move document
Touch,P9,open document
Touch,P9,mark sentence
Touch,P9,clear sentence
Touch,P9,mark sentence
Touch,P9,clear sentence
Touch,P10,open document
Touch,P9,move document
Touch,P10,close document
Touch,P9,close document
Speech,P9,add tag
Touch,P10,open document
Touch,P9,assign tag
Touch,P9,select document
Touch,P9,assign tag
Touch,P10,resize document
Touch,P10,move document
Touch,P10,close document
Touch,P9,scroll
Touch,P9,scroll
Touch,P10,open document
Touch,P10,close document
Touch,P10,open document
Touch,P9,scroll
Touch,P9,scroll
Touch,P10,close document
Touch,P10,open document
Touch,P10,close document
Touch,P10,move document
Touch,P10,open document
Touch,P10,close document
Touch,P10,open document
Touch,P9,scroll
Touch,P10,close document
Touch,P9,scroll
Touch,P10,open document
Touch,P10,scroll
Touch,P10,close document
Touch,P9,open document
Touch,P10,scroll
